Species,Habitat,Population description,Population_min,Population_max,Best Observation Period,
Black Bear,"forests, meadows",common,500,650,"Spring, Summer, Fall",may - october 
Grizzly Bear,"forests, meadows",rare,280,965,"Spring, Summer, Fall",
Coyote,"forests, meadows, grasslands",common,400,500,Year-round,
Gray Wolf,"forests, meadows",occasional,100,120,Year-round,
Fox,meadows,occasional,200,300,"Winter, Spring",
Bobcat,"forests, meadows",widespread,40,50,"Winter, Spring",
Cougar,"mountains, rocky areas",extremely rare,34,42,Year-round (Elusive),
Lynx,subalpine forests,few,20,25,Winter,
Raccoon,"rivers, cottonwoods",rare,200,250,"Summer, Fall",
Badger,sagebrush,common,100,120,"Summer, Fall",
Fisher,forests,rare,20,25,Year-round (Rare),
Marten,coniferous forests,common,200,250,Year-round,
Mink,riparian forests,Occasional,150,180,Year-round,
River Otter,"rivers, lakes, ponds",common,100,120,Year-round (Active in Winter),
Striped Skunk,riparian to forest,rare,150,180,"Spring, Summer",
Long-tailed Weasel,willows to spruce/fir forests,common,200,250,Year-round,
Short-tailed Weasel,willows to spruce/fir forests,common,250,300,Year-round,
Wolverine,"alpine, coniferous forests",rare,10,12,"Winter, Spring (Very Rare)",
Bighorn Sheep,"cliffs, mountain slopes",rare,250,485,Year-round,
Bison,"meadows, grasslands",very common,3500,5400,Year-round,
Elk (Wapiti),"meadows, forests",very common,10000,20000,"Fall (Rut Season), Winter",
Moose,"riparian, forests",occasional,150,250,"Fall, Winter",
Mountain Goat,"alpine meadows, rocky slopes",occasional,175,225,"Summer, Fall",
Mule Deer,"forests, grasslands, shrub lands",common,2300,2500,"Spring, Summer, Fall",
Pronghorn,"sagebrush, grasslands",occasional,200,300,"Spring, Summer, Fall",
White-tailed Deer,"forests, grasslands, shrub lands",occasional,400,450,Year-round,
Big Brown Bat,roost in sheltered areas,common,11000,12000,Summer (Dusk & Night),
Fringe-tailed bat,"roost in cliffs, large snags",uncommon,2200,2500,Summer (Dusk & Night),
Hoary Bat,roost in trees,uncommon,1000,1200,Summer (Dusk & Night),
Little Brown Bat,"roost in caves, buildings, trees",common,17000,18000,Summer (Dusk & Night),
Long-eared Bat,"roost in cliffs, buildings",uncommon,2200,2500,Summer (Dusk & Night),
Long-legged Bat,"roost in tree cavities, cliffs, buildings",common,200,250,Summer (Dusk & Night),
Silver-haired bat,"roost in trees, including snags",common,2200,2500,Summer (Dusk & Night),
Western small-footed Bat,"roost in rocky areas, caves",rare,1800,2000,Summer (Dusk & Night),
Townsends Big-eared Bat,roost in caves,uncommon,1000,1200,Summer (Dusk & Night),
Yuma Bat,"roost in caves, buildings, trees",rare,600,800,Summer (Dusk & Night),
nowshoe Hare,"forests, willows",common,400,450,Year-round,
White-tailed Jackrabbit,"sagebrush, grasslands",common,200,250,Year-round,
Desert Cottontail,shrub lands,common,250,300,"Summer, Fall",
Mountain Cottontail,shrub lands,common,200,250,Year-round,
Pika,rocky slopes,common,400,450,"Summer, Fall",
Dusky Shrew,"moist meadows, forests",common,4400,4500,Year-round,
Masked Shrew,"moist meadows, forests",common,4400,4500,Year-round,
Water Shrew,"moist meadows, forests",common,200,250,Year-round,
Prebles Shrew,"moist meadows, forests","rare, if present",150,180,Year-round,
Dwarf Shrew,"moist meadows, forests",rare,100,120,Year-round,
Beaver,"ponds, streams",common,500,1000,Year-round,
Least Chipmunk,forests,common,45000,50000,"Spring, Summer, Fall",
Uinta Chipmunk,forests,common,25000,30000,"Spring, Summer, Fall",
Yellow Pine Chipmunk,forests,common,25000,30000,"Spring, Summer, Fall",
Yellow-bellied Marmot,rocky slopes,common,8000,9000,"Spring, Summer",
Golden-mantled,"forests, rocky slopes",common,16000,18000,"Spring, Summer, Fall",
Ground Squirrel,"grasslands, sagebrush",common,4000,4500,Year-round,
Northern Flying Squirrel,forests,occasional,16000,18000,Year-round (Nocturnal),
Red Squirrel,forests,common,45000,50000,Year-round,
Uinta Ground Squirrel,"sagebrush, meadows",common,8000,9000,"Spring, Summer",
Northern Pocket Gopher,"sagebrush, meadows, forests",common,45000,50000,Year-round,
Deer Mouse,grasslands,common,45000,50000,Year-round,
Western Jumping Mouse,riparian,occasional,16000,18000,"Spring, Summer",
Muskrat,"streams, lakes, ponds",common,1800,2000,Year-round,
Heather Vole,sagebrush to forests,occasional,8000,9000,Year-round,
Long-tailed Vole,moist meadows,common,16000,18000,Year-round,
Meadow Vole,moist meadows,common,25000,30000,Year-round,
Montane Vole,moist meadows,common,16000,18000,Year-round,
Red-backed Vole,dense forests,common,16000,18000,Year-round,
Water Vole,riparian,occasional,800,900,Year-round,
Bushy-tailed Woodrat,rocky slopes,common,8000,9000,Year-round,
Porcupine,"forests, sagebrush, willows",common,4000,4500,Year-round,
