Species,Season
Black Bear,Spring
Black Bear,Summer
Black Bear,Fall
Grizzly Bear,Spring 
Grizzly Bear,Summer
Grizzly Bear,Fall
Coyote,Year-round
Gray Wolf,Year-round
Fox,Spring
Fox,Winter
Bobcat,Spring
Bobcat,Winter
Cougar,Year-round
Lynx,Winter
Raccoon,Summer
Raccoon,Fall
Badger,Summer
Badger,Fall
Fisher,Year-round 
Marten,Year-round
Mink,Year-round
River Otter,Year-round
Striped Skunk,Spring
Striped Skunk,Summer
Long-tailed Weasel,Year-round
Short-tailed Weasel,Year-round
Wolverine,Winter
Wolverine,Spring
Bighorn Sheep,Year-round
Bison,Year-round
Elk (Wapiti),Fall 
Elk (Wapiti),Winter
Moose,Fall
Moose,Winter 
Mountain Goat,Summer 
Mountain Goat,Fall
Mule Deer,Spring
Mule Deer,Summer 
Mule Deer,Fall
Pronghorn,Spring
Pronghorn,Summer
Pronghorn,Fall 
White-tailed Deer,Year-round
Big Brown Bat,Summer
Fringe-tailed bat,Summer
Hoary Bat,Summer
Little Brown Bat,Summer
Long-eared Bat,Summer
Long-legged Bat,Summer
Silver-haired bat,Summer
Western small-footed Bat,Summer
Townsends Big-eared Bat,Summer
Yuma Bat,Summer
nowshoe Hare,Year-round
White-tailed Jackrabbit,Year-round
Desert Cottontail,Summer
Desert Cottontail,Fall 
Mountain Cottontail,Year-round
Pika,Summer
Pika,Fall
Dusky Shrew,Year-round
Masked Shrew,Year-round
Water Shrew,Year-round
Prebles Shrew,Year-round
Dwarf Shrew,Year-round
Beaver,Year-round
Least Chipmunk,Spring
Least Chipmunk,Summer
Least Chipmunk,Fall
Uinta Chipmunk,Spring
Uinta Chipmunk,Summer
Uinta Chipmunk,Fall
Yellow Pine Chipmunk,Spring
Yellow Pine Chipmunk,Summer
Yellow Pine Chipmunk,Fall
Yellow-bellied Marmot,Spring
Yellow-bellied Marmot,Summer
Golden-mantled,Spring
Golden-mantled,Summer
Golden-mantled,Fall
Ground Squirrel,Year-round
Northern Flying Squirrel,Year-round
Red Squirrel,Year-round
Uinta Ground Squirrel,Spring
Uinta Ground Squirrel,Summer
Northern Pocket Gopher,Year-round
Deer Mouse,Year-round
Western Jumping Mouse,Spring
Western Jumping Mouse,Summer
Muskrat,Year-round
Heather Vole,Year-round
Long-tailed Vole,Year-round
Meadow Vole,Year-round
Montane Vole,Year-round
Red-backed Vole,Year-round
Water Vole,Year-round
Bushy-tailed Woodrat,Year-round
Porcupine,Year-round
